featureName,featureClass,lat,lon,elevationFeet
Coffintop Mountain,Summit,40.1988741,-105.355826,8031
Indian Lookout Mountain,Summit,40.2205409,-105.2952679,6539
Steamboat Mountain,Summit,40.2360964,-105.2841562,6115
Potato Hill,Summit,40.1658187,-105.2408216,5384
Table Top Mountain,Summit,40.2283183,-105.1685963,5407
Rabbit Mountain,Summit,40.2360962,-105.197764,5994
Granby Mesa,Summit,40.0808193,-105.8889019,8704
Mount Neva,Summit,40.0069313,-105.6883378,12821
North Arapaho Peak,Summit,40.0266534,-105.6500032,13451
Arikaree Peak,Summit,40.0463754,-105.6383363,13081
Navajo Peak,Summit,40.0535975,-105.6466699,13386
Apache Peak,Summit,40.0583197,-105.6511146,13432
Shoshoni Peak,Summit,40.0672085,-105.6388919,12956
Pawnee Peak,Summit,40.0816529,-105.6325028,12917
Mount Toll,Summit,40.0883194,-105.6336141,12933
Satanta Peak,Summit,40.0255423,-105.6900046,11972
Mount George,Summit,40.0569308,-105.6608371,12516
Mount Achonee,Summit,40.0727641,-105.6786157,12598
Lone Eagle Peak,Summit,40.0713752,-105.6602816,11890
South Arapaho Peak,Summit,40.0199867,-105.6497254,13343
Niwot Mountain,Summit,40.0588752,-105.5524998,11473
Little Pawnee Peak,Summit,40.0824862,-105.6213913,12313
Mount Audubon,Summit,40.0988749,-105.6163912,13209
Wood Mountain,Summit,40.0458193,-105.4027722,7864
Monument Hill,Summit,40.0494304,-105.3969387,8041
Melvina Hill,Summit,40.0491526,-105.3849938,7431
Hoosier Hill,Summit,40.0541526,-105.3941608,7775
Bighorn Mountain,Summit,40.0627637,-105.3874939,8382
Burnt Mountain,Summit,40.0752638,-105.4713858,9252
Nugget Hill,Summit,40.0910968,-105.3813826,8560
Walker Mountain,Summit,40.0985968,-105.4088836,8799
Bueno Mountain,Summit,40.1227634,-105.4147172,8638
Peewink Mountain,Summit,40.0038753,-105.4402735,8291
Comforter Mountain,Summit,40.0027642,-105.4211062,8192
Sugarloaf Mountain,Summit,40.0266529,-105.4186062,8888
Bald Mountain,Summit,40.0258196,-105.4522184,9127
Logan Hill,Summit,40.0316527,-105.382216,7782
Dirigo Hill,Summit,40.0355416,-105.3794381,7388
Golden Age Hill,Summit,40.1230411,-105.3655487,8369
Bald Mountain,Summit,40.0466525,-105.3438813,7139
Lee Hill,Summit,40.072208,-105.3544372,7890
Emancipation Hill,Summit,40.0547081,-105.3649931,7339
Flagstaff Mountain,Summit,40.0016525,-105.3074913,6978
Arkansas Mountain,Summit,40.0297082,-105.3694378,7713
Poorman Hill,Summit,40.0305415,-105.3358256,6476
Alaska Hill,Summit,40.0355416,-105.365271,6893
Hoover Hill,Summit,40.0038742,-105.1991542,5410
Valmont Butte,Summit,40.0308187,-105.2116545,5364
Haystack Mountain,Summit,40.1113743,-105.2241546,5545
Gun Barrel Hill,Summit,40.0694295,-105.1574856,5423
Bottle Peak,Summit,39.9022086,-105.9364031,11581
Ptarmigan Peak,Summit,39.9060974,-105.9480703,11772
Morse Mountain,Summit,39.9238754,-105.8975126,9849
Sheep Mountain,Summit,39.953042,-105.9219582,10633
Marker Hill,Summit,39.9802647,-105.769174,9075
Nebraska Hill,Summit,39.8808205,-105.6513915,11542
Guinn Mountain,Summit,39.9394314,-105.6494472,11217
Mount Epworth,Summit,39.9224871,-105.6952821,11847
Jumbo Mountain,Summit,39.8969316,-105.5544436,9967
Park Hill,Summit,39.9572092,-105.5366654,8819
Buckeye Mountain,Summit,39.9247093,-105.5622218,9852
Tennessee Mountain,Summit,39.9335982,-105.5558327,9970
Spencer Mountain,Summit,39.9433203,-105.5725,9649
Eldorado Mountain,Summit,39.957487,-105.5636109,9649
Bryan Mountain,Summit,39.9405426,-105.6172239,10814
Ute Mountain,Summit,39.9422092,-105.5841671,9783
Bald Mountain,Summit,39.9944313,-105.610835,11335
Caribou Hill,Summit,39.9783202,-105.5886119,10456
Klondike Mountain,Summit,39.9797091,-105.6036124,10751
Mineral Mountain,Summit,39.9630426,-105.5838894,10200
Boulder County Hill,Summit,39.9813758,-105.5658333,10200
Pomeroy Mountain,Summit,39.9935979,-105.5775004,10020
Thorodin Mountain,Summit,39.8874871,-105.4255504,10482
Starr Peak,Summit,39.8935981,-105.4194391,10492
Panorama Point,Summit,39.8758205,-105.4372174,9363
Miramonte Mountain,Summit,39.8902648,-105.4086055,9564
Tungsten Mountain,Summit,39.9463759,-105.4866636,8927
Hurricane Hill,Summit,39.9780424,-105.4905528,8756
Castle Rock,Pillar,39.9791534,-105.4574961,7880
Twin Sisters Peak,Summit,39.9727642,-105.3844383,8694
Forsythe Rock,Pillar,39.9666532,-105.4091612,8232
Eldorado Mountain,Summit,39.9141531,-105.2947131,8323
Scar Top Mountain,Summit,39.9097088,-105.3269363,8776
Crescent Mountain,Summit,39.8930422,-105.3138803,8914
Coal Creek Peak,Summit,39.8883199,-105.2913796,8478
Shirttail Peak,Summit,39.9341529,-105.2886018,7218
Devils Thumb,Pillar,39.9524861,-105.2899907,7733
South Boulder Peak,Summit,39.953875,-105.2991577,8524
Langridge Dyke,Summit,39.9513752,-105.3402701,7405
Castle Rock,Pillar,39.9474864,-105.3486038,7549
Tram Hill,Summit,39.9983193,-105.3330478,7090
Saddle Rock,Pillar,39.9922081,-105.2999911,6988
Green Mountain,Summit,39.9794304,-105.3016578,7926
The Flatirons,Summit,39.9841526,-105.2941576,7155
Bear Peak,Summit,39.9605417,-105.2952687,8458
Echo Rock,Pillar,39.9819303,-105.2822128,6145
Table Mountain,Summit,39.9774859,-105.2786016,6204
Lake Mesa,Summit,39.9485968,-105.1949875,5725
Davidson Mesa,Summit,39.9310969,-105.1916541,5787
Mount Nystrom,Summit,39.8088755,-105.901957,12651
